INFO    2022-03-08 11:34:54,667 [main] com.makosdanii.myspringwebapp.business.UserService  - Started
INFO    2022-03-08 11:37:53,570 [main] com.makosdanii.myspringwebapp.business.UserService  - Started
INFO    2022-03-08 11:37:53,571 [main] com.makosdanii.myspringwebapp.business.UserService  - sun.misc.Launcher$AppClassLoader@73d16e93
INFO    2022-03-08 11:38:56,749 [main] com.makosdanii.myspringwebapp.business.UserService  - Started
INFO    2022-03-08 11:38:56,750 [main] com.makosdanii.myspringwebapp.business.UserService  - C:\Users\user\NetBeansProjects\mywebapplication\myspringwebapp
INFO    2022-03-08 13:32:43,258 [main] com.makosdanii.myspringwebapp.business.UserService  - Started
INFO    2022-03-08 13:33:04,131 [http-nio-8080-exec-6] com.makosdanii.myspringwebapp.business.UserService  - Auth process for id admin@mydomain.com
INFO    2022-03-08 13:34:46,662 [http-nio-8080-exec-3] com.makosdanii.myspringwebapp.business.UserService  - Deleted user with id user@mydomain.com
INFO    2022-03-08 13:35:46,995 [main] com.makosdanii.myspringwebapp.business.UserService  - Started
INFO    2022-03-08 13:36:02,582 [http-nio-8080-exec-3] com.makosdanii.myspringwebapp.business.UserService  - Auth process for id admin@mydomain.com
INFO    2022-03-08 13:41:47,612 [main] com.makosdanii.myspringwebapp.business.UserService  - Started
INFO    2022-03-08 13:42:08,187 [http-nio-8080-exec-2] com.makosdanii.myspringwebapp.business.UserService  - Auth process for id admin@mydomain.com
INFO    2022-03-08 13:43:00,889 [http-nio-8080-exec-6] com.makosdanii.myspringwebapp.business.UserService  - Added user with id test@mydomain.com
INFO    2022-03-08 13:49:47,724 [http-nio-8080-exec-8] com.makosdanii.myspringwebapp.business.UserService  - Deleted user with id test@mydomain.com
INFO    2022-03-08 13:52:47,156 [http-nio-8080-exec-7] com.makosdanii.myspringwebapp.business.UserService  - Added user with id test@mydomain.com
INFO    2022-03-08 13:59:40,389 [main] com.makosdanii.myspringwebapp.business.UserService  - Started
INFO    2022-03-08 13:59:57,359 [http-nio-8080-exec-3] com.makosdanii.myspringwebapp.business.UserService  - Auth process for id admin@mydomain.com
INFO    2022-03-08 14:03:49,627 [http-nio-8080-exec-1] com.makosdanii.myspringwebapp.business.UserService  - Filtered for test
INFO    2022-03-08 14:03:54,417 [http-nio-8080-exec-2] com.makosdanii.myspringwebapp.business.UserService  - Filtered for 
INFO    2022-03-08 15:27:16,715 [main] com.makosdanii.myspringwebapp.business.UserService  - Started
INFO    2022-03-08 15:27:35,111 [http-nio-8080-exec-3] com.makosdanii.myspringwebapp.business.UserService  - Auth process for id admin@mydomain.com
INFO    2022-03-08 15:28:27,674 [http-nio-8080-exec-8] com.makosdanii.myspringwebapp.business.UserService  - Deleted user with id test@mydomain.com
INFO    2022-03-08 15:32:18,489 [http-nio-8080-exec-6] com.makosdanii.myspringwebapp.business.UserService  - Auth process for id admin@mydomain.com
INFO    2022-03-08 15:33:36,373 [http-nio-8080-exec-10] com.makosdanii.myspringwebapp.business.UserService  - Filtered for user
INFO    2022-03-08 15:36:48,114 [http-nio-8080-exec-5] com.makosdanii.myspringwebapp.business.UserService  - Auth process for id admin@mydomain.com
INFO    2022-03-08 15:37:15,745 [http-nio-8080-exec-8] com.makosdanii.myspringwebapp.business.UserService  - Auth process for id admin@mydomain.com
INFO    2022-03-08 15:37:33,631 [http-nio-8080-exec-1] com.makosdanii.myspringwebapp.business.UserService  - Auth process for id asdf
INFO    2022-03-08 15:37:44,321 [http-nio-8080-exec-2] com.makosdanii.myspringwebapp.business.UserService  - Auth process for id admin@mydomain.com
INFO    2022-03-08 15:49:14,706 [http-nio-8080-exec-5] com.makosdanii.myspringwebapp.business.UserService  - Auth process for id sadfas
INFO    2022-03-08 15:49:30,884 [http-nio-8080-exec-6] com.makosdanii.myspringwebapp.business.UserService  - Auth process for id admin@mydomain.com
INFO    2022-03-08 15:49:36,247 [http-nio-8080-exec-7] com.makosdanii.myspringwebapp.business.UserService  - Auth process for id admin@mydomain.com
INFO    2022-03-08 15:52:19,865 [http-nio-8080-exec-10] com.makosdanii.myspringwebapp.business.UserService  - Added user with id test@mydomain.com
INFO    2022-03-08 15:53:16,013 [http-nio-8080-exec-4] com.makosdanii.myspringwebapp.business.UserService  - Filtered for test
INFO    2022-03-08 15:53:38,225 [http-nio-8080-exec-5] com.makosdanii.myspringwebapp.business.UserService  - Deleted user with id test@mydomain.com
INFO    2022-03-08 15:54:01,715 [http-nio-8080-exec-9] com.makosdanii.myspringwebapp.business.UserService  - Filtered for 
INFO    2022-03-08 16:04:38,325 [http-nio-8080-exec-1] com.makosdanii.myspringwebapp.business.UserService  - Filtered for domain
INFO    2022-03-09 08:40:43,551 [http-nio-8080-exec-7] com.makosdanii.myspringwebapp.business.UserService  - Auth process for id admin@mydomain.com
INFO    2022-03-09 08:40:54,355 [http-nio-8080-exec-10] com.makosdanii.myspringwebapp.business.UserService  - Deleted user with id user@mydomain.com
INFO    2022-03-09 08:58:36,146 [main] com.makosdanii.myspringwebapp.business.UserService  - Started
INFO    2022-03-09 08:59:09,511 [http-nio-8080-exec-2] com.makosdanii.myspringwebapp.business.UserService  - Auth process for id admin@mydomain.com
INFO    2022-03-09 09:02:42,418 [main] com.makosdanii.myspringwebapp.business.UserService  - Started
INFO    2022-03-09 09:03:11,319 [http-nio-8080-exec-3] com.makosdanii.myspringwebapp.business.UserService  - Auth process for id admin@mydomain.com
INFO    2022-03-09 09:03:59,813 [http-nio-8080-exec-5] com.makosdanii.myspringwebapp.business.UserService  - Added user with id test@mydomain.com
INFO    2022-03-09 09:05:09,126 [http-nio-8080-exec-10] com.makosdanii.myspringwebapp.business.UserService  - Deleted user with id test@mydomain.com
INFO    2022-03-09 09:05:45,791 [http-nio-8080-exec-2] com.makosdanii.myspringwebapp.business.UserService  - Deleted user with id user@mydomain.com
INFO    2022-03-09 09:06:50,099 [http-nio-8080-exec-6] com.makosdanii.myspringwebapp.business.UserService  - Added user with id user@mydomain.com
INFO    2022-03-09 09:46:57,785 [main] com.makosdanii.myspringwebapp.business.UserService  - Started
INFO    2022-03-09 09:47:39,798 [http-nio-8080-exec-7] com.makosdanii.myspringwebapp.business.UserService  - Auth process for id admin@mydomain.com
INFO    2022-03-09 09:48:25,436 [http-nio-8080-exec-5] com.makosdanii.myspringwebapp.business.UserService  - Added user with id test@mydomain.com
INFO    2022-03-09 09:48:54,196 [http-nio-8080-exec-10] com.makosdanii.myspringwebapp.business.UserService  - Deleted user with id test@mydomain.com
INFO    2022-03-09 09:49:00,636 [http-nio-8080-exec-4] com.makosdanii.myspringwebapp.business.UserService  - Deleted user with id user@mydomain.com
INFO    2022-03-09 09:50:21,916 [http-nio-8080-exec-4] com.makosdanii.myspringwebapp.business.UserService  - Added user with id user@mydomain.com
INFO    2022-03-09 12:50:05,646 [main] com.makosdanii.myspringwebapp.business.UserService  - Started
